,blockNumber,erc20CoinTotalSupply,globalDebt,marketPriceEth,marketPriceUsd,redemptionPrice,redemptionRate,timestamp,redemptionPriceActual,redemptionRateActual,activeLiquidations,currentFsmUpdate,currentMedianizerUpdate,debtCeiling,liquidationsStarted,totalAnnualizedStabilityFee,totalCollateral,Eth_price
24,11867503,6254.514977346455,8005.1152297769495,0.00396186284011276,7.082569060229576,"{'block': '11867462', 'id': '0x30379f10e432d01ab2d2ac7adc3bacec37ac09c5614c2f32890740be5a9b32d0-189', 'value': '3.139999931194869490038880363'}",{'hourlyRate': '0.999999974545058772079068691'},1613474284,3.1399999311948696,0.9999999745450587,0,{'value': '1802.02'},{'value': '1787.68658736'},10000000,1,1.019999999999999999972831879,34.36697488721813454,1802.02
25,11867818,7054.514977346455,8805.005527286892,0.00447358709889887,8.05538191346715,"{'block': '11867725', 'id': '0xbe67a2c54c42403663e095f15eb8eff20a1c11225dfd6d1d35abf5e9563a5970-14', 'value': '3.139999847869393998439667968'}",{'hourlyRate': '0.999999974545058772079068691'},1613478495,3.139999847869394,0.9999999745450587,0,{'value': '1801.88834416'},{'value': '1800.653868'},10000000,1,1.019999999999999999972831879,38.36697488721813454,1801.88834416
26,11868157,7054.514977346455,8805.005527286892,0.0017024558721407798,3.0531843610972746,"{'block': '11868019', 'id': '0xe7bc69e47ed287b47bffd39acd53ec0e8995c58db39ec0907d540b07db4a9417-268', 'value': '3.139999771360046480202340569'}",{'hourlyRate': '0.999999974545058772079068691'},1613482718,3.1399997713600465,0.9999999745450587,0,{'value': '1787.68658736'},{'value': '1793.4'},10000000,1,1.019999999999999999972831879,38.36697488721813454,1787.68658736
27,11868417,7054.514977346455,8805.005527286892,0.0017024558721407798,3.0264526670956706,"{'block': '11868287', 'id': '0x5eabad08fd7d458e2b0123b3c5c7bd31656eb40f9046fbffe55ab095b8784faf-296', 'value': '3.139999691409334481042171906'}",{'hourlyRate': '0.999999974545058772079068691'},1613486217,3.1399996914093347,0.9999999745450587,0,{'value': '1800.653868'},{'value': '1777.69815748'},10000000,1,1.019999999999999999972831879,38.36697488721813454,1800.653868
28,11868704,7054.514977346455,8805.185498481325,0.0016091252315737188,2.881869349366026,"{'block': '11868556', 'id': '0xb8df2436e32ba8dda0a8df9d68f8e2287c9c12018c2085b45b08202b0fe240df-305', 'value': '3.139999604800875819324641634'}",{'hourlyRate': '0.999999970533399916778221551'},1613489877,3.139999604800876,0.9999999705334,0,{'value': '1793.4'},{'value': '1790.95404933'},10000000,1,1.019999999999999999972831879,38.36697488721813454,1793.4
29,11868901,7314.514977346455,9065.213010102432,0.0022590300135853563,4.045818950388699,"{'block': '11868844', 'id': '0x0e2d7b51aeaa0a7d490ecd34c1def47f5cee2353d811349bf921aa57c38f470f-295', 'value': '3.139999511838839066740977173'}",{'hourlyRate': '0.999999970533399916778221551'},1613492473,3.139999511838839,0.9999999705334,0,{'value': '1777.69815748'},{'value': '1790.95404933'},10000000,1,1.019999999999999999972831879,41.56697488721813454,1777.69815748
30,11869333,8004.515018562104,8953.051932771312,0.002879566488131024,5.062763542760694,"{'block': '11869116', 'id': '0xf1afb4a10d6afa22e478762b632b5be1395c87c8f70af2c39768950ceb75294a-242', 'value': '3.13999941910811783762843794'}",{'hourlyRate': '0.999999970533399916778221551'},1613498315,3.139999419108118,0.9999999705334,0,{'value': '1790.95404933'},{'value': '1758.16865616'},10000000,1,1.019999999999999999972831879,42.66697488721813454,1790.95404933
31,11869538,8004.515018562104,8953.051932771312,0.002879566488131024,5.029708047001165,"{'block': '11869383', 'id': '0x15b91063d33bb886a2096f447abdb091c41416b76b475b609ff22ff235d71b24-117', 'value': '3.139999324192778794782725233'}",{'hourlyRate': '0.999999970533399916778221551'},1613500967,3.139999324192779,0.9999999705334,0,{'value': '1758.80410151'},{'value': '1746.68932554'},10000000,1,1.019999999999999999972831879,42.66697488721813454,1758.80410151
32,11869788,8004.515018562104,8952.96768737707,0.002879566488131024,5.029708047001165,"{'block': '11869644', 'id': '0xd2519ac432ccf04bfbc02d1081815e29ae19e6a3601da38fa41fcc469a873ec1-103', 'value': '3.139999229396154470618712938'}",{'hourlyRate': '0.999999966833127505886279592'},1613504419,3.1399992293961545,0.9999999668331275,0,{'value': '1758.16865616'},{'value': '1746.68932554'},10000000,1,1.019999999999999999972831879,52.66697488721813454,1758.16865616
33,11870145,9004.515018562104,9952.820763644744,0.002879566488131024,5.032791125295879,"{'block': '11869927', 'id': '0x8b7c21336c0b7c51f8ef3073703f01a50865947d294bc8878369f8bf641cb537-116', 'value': '3.139999124789338387228865186'}",{'hourlyRate': '0.999999966833127505886279592'},1613509083,3.1399991247893384,0.9999999668331275,0,{'value': '1746.68932554'},{'value': '1747.76'},10000000,1,1.019999999999999999972831879,52.66697488721813454,1746.68932554
